company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
UNICORN ASSET MANAGEMENT LIMITED,03919499,ltd,04-02-2000,[66300],First Floor Office Preacher's Court Charterhouse Square United Kingdom EC1M 6AU,9.0
SH INVESTMENT MANAGEMENT LTD,07078543,ltd,17-11-2009,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
FW CAPITAL LIMITED,07078439,ltd,17-11-2009,[66300],Unit J Yale Business Village Wrexham Wales LL13 7YL,9.0
PROVINCIAL RESIDENTIAL HOLDINGS LIMITED,00321968,ltd,16-12-1936,[66300],Traumerei Ashford England TN24 8HJ,9.0
MIDTOWN INVESTMENTS LIMITED,03714138,ltd,16-02-1999,[66300],69 Moss Lane Middlesex HA5 3AZ,9.0
VALERIAN DEVELOPMENTS LIMITED,02864025,ltd,19-10-1993,[66300],13/15 Netherhall Rd Doncaster DN1 2PH,9.0
WENTWORTH INVESTMENT MANAGEMENT LIMITED,06802517,ltd,27-01-2009,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
BVO GROEP LIMITED,05577569,ltd,28-09-2005,[66300],43 Owston Road Carcroft England DN6 8DA,9.0
CLENDINNING (HOLDINGS) LIMITED,NI004528,ltd,31-03-1960,[66300],1 Coastguard Cottage Holywood BT18 0AG,9.0
J.BATTY AND CO.LIMITED,00183343,ltd,24-07-1922,[66300],"Unit A,  Belgrave Court Caxton Road Preston United Kingdom PR2 9PL",9.0
DBM ADVISORY LIMITED,09935269,ltd,05-01-2016,"[66300,68310, 68320]",55 Loudoun Road London United Kingdom NW8 0DL,9.0
ENTRES LTD,09940117,ltd,07-01-2016,"[55100,66300,69203, 85100]",12 Crabtree Lane Harpenden England AL5 5TB,9.0
S G WEALTH MANAGEMENT LIMITED,04164888,ltd,21-02-2001,[66300],53-57 St Martin's Lane Norwich NR3 3SA,9.0
RAB CAPITAL LIMITED,03694213,ltd,12-01-1999,[66300],6 Kilmington Close Brentwood England CM13 2JZ,9.0
SYNGENTA PENSIONS TRUSTEE LIMITED,03919501,ltd,04-02-2000,[66300],Jealott's Hill International Research Centre Bracknell England RG42 6EY,9.0
ASHTON FRASER INVESTMENTS,NI625706,private-unlimited,16-07-2014,"[66300, 82990]",Alfred House Belfast Northern Ireland BT2 8EQ,9.0
CORNELIAN ASSET MANAGERS LIMITED,SC113646,ltd,30-09-1988,[66300],Hobart House Edinburgh Scotland EH2 1EL,9.0
CHENPEN LTD,07129192,ltd,19-01-2010,[66300],Highlands Farm Southend Road Chelmsford CM3 8EB,9.0
BEAMISH INVESTMENTS LIMITED,07415255,ltd,21-10-2010,[66300],Hill View House Cranbrook TN17 3AD,9.0
CLARKE FINANCIAL CONSULTING LIMITED,10536319,ltd,22-12-2016,"[66300, 70221]",The Old House Aston Abbotts England HP22 4LX,9.0
A WILSON INVESTMENTS LIMITED,06796869,ltd,21-01-2009,[66300],Beckwith Barn Warren Estate Chelmsford United Kingdom CM1 3WT,9.0
PAUL BYLES WEALTH MANAGEMENT LIMITED,07455427,ltd,30-11-2010,[66300],Southmoor Farmhouse Stonehill Lane Abingdon England OX13 5HU,9.0
CHART TL CAPITAL LIMITED,07112486,ltd,24-12-2009,[66300],Second Floor Ridgeland House Horsham England RH12 1ER,9.0
CTA & MACRO STRATEGIES FOR CORPORATIONS ONLY LTD,04014398,ltd,14-06-2000,[66300],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,9.0
TF8 FUTURES LTD,06834254,ltd,02-03-2009,[66300],4 Wharfe Mews Wetherby United Kingdom LS22 6LX,9.0
ASCENDER FUND PARTNERS (UK) LIMITED,06795280,ltd,20-01-2009,[66300],33 Turner Street Manchester England M4 1DW,9.0
LONGBON & CO LTD,06904497,ltd,13-05-2009,[66300],Quay Point Woodbridge England IP12 4AL,9.0
FINSOR HOLDING PLC,15416498,plc,16-01-2024,"[64304,66300,70100, 82990]",15416498 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,9.0
VOYAGER FINANCIAL SERVICES LIMITED,03294877,ltd,20-12-1996,[66300],Workspace Albert Road Methodist Church Penarth Wales CF64 1BY,9.0
WAYNE AUSTIN IFA LIMITED,05729483,ltd,03-03-2006,[66300],Ground Floor Market Court Altrincham England WA14 4DW,9.0
HAWFINCH FINANCIAL SERVICES LIMITED,05681767,ltd,20-01-2006,[66300],16 St. Owen Street Hereford England HR1 2PL,9.0
ABACUS 88 LIMITED,10391890,ltd,23-09-2016,"[59111,64303,64304, 66300]",10391890 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,9.0
Q CAPITAL (LONDON) LIMITED,04848199,ltd,28-07-2003,[66300],11/12 Hallmark Trading Centre Fourth Way Middlesex United Kingdom HA9 0LB,9.0
BAILLIE GIFFORD & CO LIMITED,SC069524,ltd,08-10-1979,[66300],3 Haymarket Square Edinburgh United Kingdom EH3 8RY,9.0
ACCRUE INVESTMENT MANAGEMENT LIMITED,04263019,ltd,01-08-2001,[66300],4 Queen Street Bath England BA1 1HE,9.0
TKS COMMODITIES TRADING LTD,14403599,ltd,07-10-2022,"[66120,66190,66300, 70221]",1259 London Road Leigh-On-Sea England SS9 2AF,9.0
DBW FM LIMITED,01833687,ltd,17-07-1984,[66300],Unit J Yale Business Village Wrexham Wales LL13 7YL,9.0
ROB NORTH FINANCIAL SERVICES LIMITED,07226226,ltd,16-04-2010,[66300],Sansome Lodge Worcester England WR1 1LH,9.0
KAMO INVESTMENTS LIMITED,03791859,ltd,18-06-1999,[66300],1 Spring Mews null W1U 6AS,9.0
UNDERRIVER ENTERPRISES LIMITED,00682494,ltd,03-02-1961,[66300],St Julians Kent TN15 0RX,9.0
BRENMATCH LIMITED,03496512,ltd,21-01-1998,[66300],Dancing Ghyll Keswick CA12 5UQ,9.0
FRONTHIDE LIMITED,01996190,ltd,05-03-1986,[66300],1 Downham Grove Wymondham England NR18 0SN,9.0
RON COATES & CO LIMITED,04196358,ltd,09-04-2001,[66300],27 Warren Drive Caerphilly Wales CF83 1HQ,9.0
M D H DERIVATIVES LIMITED,05743078,ltd,15-03-2006,[66300],Unit 5 Swaker Yard Herts England WD6 4SE,9.0
THE CHAMBERLAIN GROUP LIMITED,05741560,ltd,14-03-2006,[66300],New Mill House Park Lane Tamworth England B78 3HX,9.0
MEDITOR CAPITAL MANAGEMENT LIMITED,03516926,ltd,25-02-1998,[66300],Donald Reid Group Limited 1010 Eskdale Road Wokingham United Kingdom RG41 5TS,9.0
LIBERATE ENTERPRISES LTD,12553471,ltd,09-04-2020,"[41202,66300,68209, 70229]",9 Mill Mead Basingstoke England RG25 3FD,9.0
PRIDELAND LIMITED,03718334,ltd,23-02-1999,[66300],Westville Brockenhurst SO42 7ST,9.0
MISSION WINNOW LIMITED,14089112,ltd,05-05-2022,"[62090,63120,64999, 66300]",7 Bell Yard London United Kingdom WC2A 2JR,9.0
CITY FINANCIAL ASSET MANAGEMENT LIMITED,01151609,ltd,14-12-1973,[66300],21 Clifford Grove Middlesex TW15 2JS,9.0
M D FINANCIAL LIMITED,04215592,ltd,14-05-2001,[66300],2 Station View Stockport England SK7 5ER,9.0
KYLENDALE LIMITED,05187788,ltd,23-07-2004,[66300],Suite 8 Phoenix House Basildon United Kingdom SS14 3EZ,9.0
SDCL EE (CO) (UK) CIP HOLDINGS LIMITED,08148673,ltd,18-07-2012,[66300],One London England W1H 7AL,9.0
CHARTERIS TREASURY PORTFOLIO MANAGERS LIMITED,01830771,ltd,06-07-1984,[66300],Suite 10 4th Floor Amp House Croydon England CR0 2LX,9.0
COMINVEST SYSTEMS (UK) LIMITED,01861657,ltd,07-11-1984,[66300],Stag Gates House Southampton SO17 1XS,9.0
TIBURON PARTNERS LIMITED,05509734,ltd,15-07-2005,[66300],Crabfields Farm Drungewick Lane Billingshurst England RH14 0RS,9.0
HAFREN INVESTMENTS LTD,02181722,ltd,21-10-1987,[66300],1 Carlton Parade Wembley England HA9 8NE,9.0
ASCOT ASSET MANAGEMENT LIMITED,03646575,ltd,08-10-1998,[66300],20-22 Greenham Business Park Thatcham England RG19 6HX,9.0
SEVERUS CAPITAL LTD,14515179,ltd,30-11-2022,"[64205,66300,69203, 70221]",Cannon Green London United Kingdom EC4R 0AA,9.0
LEXLEA LIMITED,08159880,ltd,27-07-2012,[66300],64 Charlotte House 10 Lapidge Drive London England SW17 0ZL,9.0
WESTBRIDGE MANAGEMENT LIMITED,03441221,ltd,29-09-1997,[66300],1 Westbridge Maghull Merseyside Westway Liverpool England L31 2PQ,9.0
TDB FINANCIAL MANAGEMENT CONSULTANCY LTD,13020675,ltd,15-11-2020,"[66300,69202,70221, 70229]",3 Vanguard Court Southsea England PO4 9TD,9.0
MORRIS BUILDERS (AYLESBURY) LIMITED,00537701,ltd,03-09-1954,[66300],Wenn Townsend Oxford OX1 3LE,9.0
OLIVE RACE LIMITED,08213986,ltd,13-09-2012,[66300],"6th Floor,  Charlotte Building London England W1T 1QL",9.0
BEACHWOOD CAPITAL LIMITED,09009596,ltd,24-04-2014,"[64303, 66300]",6 Dukes Lane London England W8 4JL,9.0
GARNER'S BUSES(BRIDGE OF WEIR)LIMITED,SC020372,ltd,05-05-1938,[66300],North Cottage Wemyss Bay Scotland PA18 6AN,9.0
ARCANUM ASSET MANAGEMENT LIMITED,07369908,ltd,08-09-2010,[66300],11 Saville Place Bristol England BS8 4EJ,9.0
AEGF 2 LTD,05893079,ltd,01-08-2006,[66300],Redroofs Tenbury Wells England WR15 8EN,9.0
FORTY TWO FINANCIAL PLANNING LIMITED,SC294648,ltd,19-12-2005,[66300],4 Kingshill Park Westhill Scotland AB32 6FL,9.0
PARK VALE CAPITAL LIMITED,08209203,ltd,11-09-2012,[66300],50 Sloane Avenue Sloane Avenue London England SW3 3DD,9.0
SANTANDER ASSET MANAGEMENT UK LIMITED,SC106669,ltd,14-09-1987,[66300],287 St. Vincent Street Glasgow G2 5NB,9.0
STATCHASE INVESTMENTS LIMITED,03194593,ltd,03-05-1996,[66300],3 Queensfield Nr Basingstoke Hampshire RG25 2AY,9.0
INVESTMENTS & LOANS LIMITED,06937578,ltd,18-06-2009,[66300],Lynwood House Harrow HA1 2AW,9.0
CATALYST THERAPY LTD.,09013261,ltd,28-04-2014,"[66300, 86900]",71-75 Shelton Street London England WC2H 9JQ,9.0
HERALD INVESTMENT MANAGEMENT LIMITED,02877061,ltd,01-12-1993,[66300],10-11 Charterhouse Square null EC1M 6EE,9.0
MONTRACHET CAPITAL LIMITED,07918242,ltd,20-01-2012,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,9.0
CS MANAGERS LTD,SC231678,ltd,17-05-2002,[66300],43 Charlotte Square Edinburgh United Kingdom EH2 4HQ,9.0
MIDS SOLUTIONS LTD,06694182,ltd,10-09-2008,[66300],Seabreeze Lodge Egremont England CA22 2UH,9.0
MONARCH ALTERNATIVE CAPITAL (EUROPE) LTD,08138649,ltd,11-07-2012,[66300],1st Floor 50-52 Welbeck Street London England W1G 9HL,9.0
FSE LOAN MANAGEMENT LIMITED,05041192,ltd,11-02-2004,[66300],First Floor Linea House Fleet England GU51 2UZ,9.0
COLUMBIA THREADNEEDLE REP PM LIMITED,08198483,ltd,03-09-2012,[66300],"Cannon Place,  78 Cannon Street London England EC4N 6AG",9.0
JENCAP CONSULTING LTD,06099091,ltd,13-02-2007,[66300],Suite B2 Ground Floor Copthorne Way Cardiff Wales CF5 6ES,9.0
ADD WEALTH MANAGEMENT LIMITED,07306825,ltd,07-07-2010,[66300],18-24 Brighton Road South Croydon England CR2 6AA,9.0
B & P FINANCE CONSULTANTS LIMITED,04534896,ltd,13-09-2002,[66300],River Farm House Redwall Lane Maidstone England ME17 4BD,9.0
ENA INVESTMENT CAPITAL (UK) LIMITED,08166142,ltd,02-08-2012,[66300],Carrington House London W1B 5SE,9.0
CAIN CAPITAL LTD,07077070,ltd,16-11-2009,[66300],241 Hale Road Altrincham England WA15 8RD,9.0
NORTHO LIMITED,07207225,ltd,30-03-2010,[66300],98 Hornchurch Road Hornchurch United Kingdom RM11 1JS,9.0
ABERFORTH LGP IA LIMITED,SC214415,ltd,03-01-2001,[66300],14 Melville Street Midlothian EH3 7NS,9.0
HANAE LTD,13027826,ltd,18-11-2020,"[66300,68100,68209, 82990]",6 Portland Business Centre Datchet England SL3 9EG,9.0
CAPITAL TRUST FINANCIAL MANAGEMENT LTD,NI028640,ltd,21-07-1994,[66300],Capital House Coleraine BT52 1NB,9.0
CLARION PARTNERS EMEA LIMITED,08120530,ltd,27-06-2012,[66300],1 Southampton Street London United Kingdom WC2R 0LR,9.0
FORESTER MACLEAN LIMITED,01031927,ltd,19-11-1971,[66300],The Old Dairy 12 Stephen Road Oxford England OX3 9AY,9.0
ARTHUR SAMUEL FINANCIAL SERVICES LIMITED,01342664,ltd,06-12-1977,[66300],16 Dalkeith Grove Stanmore HA7 4SG,9.0
COURTIERS SUPPORT SERVICES LTD,03075228,ltd,03-07-1995,[66300],18a Hart Street Oxfordshire RG9 2AU,9.0
PARSENNE LTD,12894687,ltd,21-09-2020,"[64304,64999,66190, 66300]",2nd Floor College House Ruislip United Kingdom HA4 7AE,9.0
PRL INV LIMITED,03844585,ltd,20-09-1999,[66300],26 Barrett Road Great Bookham KT22 9HL,9.0
CAREFREE MORTGAGE SOLUTIONS LIMITED,05688918,ltd,26-01-2006,[66300],3 Ingrow Bridge Keighley England BD21 5AX,9.0
RHONE CAPITAL LIMITED,14450036,ltd,28-10-2022,"[64999,66110,66190, 66300]",17 Allenswood Road London England SE9 6RW,9.0
XNTREE LTD,10178546,ltd,13-05-2016,"[66300, 70229]",Suite 41 Chessington Business Centre Chessington United Kingdom KT9 1SD,9.0
FORT FINANCIAL PLANNING LIMITED,05262921,ltd,18-10-2004,[66300],Etheridge House Barton View Business Park Sherborne United Kingdom DT9 4FW,9.0
COULDN'T CARE LESS LTD,01031267,ltd,16-11-1971,[66300],7 Hollywood Altrincham WA14 2LL,9.0
STERLING IM LIMITED,06999954,ltd,25-08-2009,[66300],"Lynwood House,  Crofton Road,  Orpington Orpington England BR6 8QE",9.0
DJWM LIMITED,06338794,ltd,09-08-2007,[66300],"C/O Sobell Rhodes Llp The Kinetic Centre Elstree,  Borehamwood United Kingdom WD6 4PJ",9.0
WAY FUND MANAGERS LIMITED,04011838,ltd,09-06-2000,[66300],"Cedar House,  3 Cedar Park Wimborne BH21 7SB",9.0
THESIS UNIT TRUST MANAGEMENT LIMITED,03508646,ltd,06-02-1998,[66300],Exchange Building Chichester PO19 1UP,9.0
NSF HOLDINGS LIMITED,02238143,ltd,31-03-1988,[66300],"5th Floor,  Maybrook House Newcastle Upon Tyne England NE1 5JE",9.0
KHUDUR LIMITED,11144285,ltd,11-01-2018,"[46720,64910,66300, 68100]",128 City Road London England EC1V 2NX,9.0
BARWOOD CAPITAL LIMITED,06884336,ltd,22-04-2009,[66300],Grafton House Towcester United Kingdom NN12 7LS,9.0
APPIN INVESTMENTS LTD.,SC368028,ltd,04-11-2009,[66300],505 Great Western Road Glasgow G12 8HN,9.0
HARGREAVES LANSDOWN FUND MANAGERS LTD.,02707155,ltd,15-04-1992,[66300],1 College Square South Bristol BS1 5HL,9.0
SAXONBURY HOUSE MANAGEMENT COMPANY LIMITED,03026186,ltd,24-02-1995,[66300],Flat 3 Saxonbury House Ryde England PO33 2NX,9.0
WESTATE INVESTMENT MANAGEMENT LIMITED,05085150,ltd,26-03-2004,[66300],The Coach House Guildford GU1 2BJ,9.0
SHEES CONSULTANCY SERVICES LIMITED,14438041,ltd,24-10-2022,"[62020,66190,66300, 70229]",12 Constance Street London England E16 2DQ,9.0
HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED,01917956,ltd,31-05-1985,[66300],8 Canada Square null E14 5HQ,9.0
MCM BESPOKE INVESTMENT SERVICES LIMITED,06460768,ltd,28-12-2007,[66300],8 Thorpe Road Norwich United Kingdom NR1 1RY,9.0
AFL WEALTH MANAGEMENT LIMITED,07115234,ltd,04-01-2010,[66300],255 Poulton Road Wirral United Kingdom CH44 4BT,9.0
SIGNATURE SENIOR LIFESTYLE INVESTMENT MANAGEMENT LIMITED,06582776,ltd,01-05-2008,[66300],Signature House Beaconsfield England HP9 1FN,9.0
S.O. CAPITAL LTD,11729443,ltd,17-12-2018,"[64205,66300,85590, 85600]",71-75 Shelton Street London United Kingdom WC2H 9JQ,9.0
OXFORD UNIVERSITY ENDOWMENT MANAGEMENT LIMITED,06242141,ltd,09-05-2007,[66300],University Offices Oxford OX1 2JD,9.0
CHENNELLS INVESTMENT MANAGEMENT LTD,06371813,ltd,14-09-2007,[66300],"Highlands Farm,  Southend Road Essex CM3 8EB",9.0
MAYFIELD INVESTMENT MANAGEMENT LTD,08224408,ltd,21-09-2012,"[66220, 66300]",3a Market Square Crewkerne England TA18 7LE,9.0
BOMAN TRADING LIMITED,04910397,ltd,24-09-2003,[66300],28 St Wilfrid's Road South Yorks DN4 6AB,9.0
D G S FINANCIAL SERVICES LTD.,SC243833,ltd,12-02-2003,[66300],2 Crimond Park Aberdeenshire AB41 8BS,9.0
CAPITAL MOTORS GLOBAL HOLDINGS LIMITED,04645503,ltd,23-01-2003,[66300],The Pinnacle Milton Keynes MK9 1FE,9.0
AEQUITES LIMITED,14544780,ltd,16-12-2022,"[64991,64999,66120, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,9.0
SCIENS GROUP RISK SERVICES LIMITED,08174467,ltd,09-08-2012,[66300],34 Bruton Street London England W1J 6QX,9.0
HERITAGE FINANCIAL LIMITED,07103745,ltd,14-12-2009,[66300],The Old House Christchurch England BH23 1QL,9.0
MARK REYNOLDS FINANCIAL PLANNING LIMITED,06068299,ltd,25-01-2007,[66300],Cathedral House Lichfield England WS13 7AA,9.0
CAPERNAUM GROUP LIMITED,10349147,ltd,27-08-2016,"[66110,66300,68320, 69109]",358 Brentwood Road Romford England RM2 5TD,9.0
EASTHAVEN INVESTMENTS BV LTD,12858745,ltd,04-09-2020,"[64304,66300, 70229]",C/O Ida&Co Building 3 Chiswick Business Park London England W4 5YA,9.0
ULG MANAGEMENT LIMITED,06375471,ltd,19-09-2007,[66300],"Beckwith Barn,  Warren Estate Lordship Road Chelmsford England CM1 3WT",9.0
NOVALIS GENERAL PARTNERS LTD,11528088,ltd,21-08-2018,"[64303,66300, 70229]",1 Park Road Kingston Upon Thames United Kingdom KT1 4AS,9.0
MANAGEMENT AND STRATEGIES LIMITED,06403614,ltd,18-10-2007,[66300],3a School Road Sale England M33 7XY,9.0
SEDONA INVESTMENTS LIMITED,06440901,ltd,29-11-2007,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
TRENDWATCH ASSET MANAGEMENT LTD,04704606,ltd,20-03-2003,[66300],6b Parkway St Albans England AL3 6PA,9.0
TRINITY GLOBAL CAPITAL UK LTD,06910409,ltd,19-05-2009,[66300],1 Balloon Street Manchester England M4 4BE,9.0
KIRK INVESTMENTS LIMITED,04157523,ltd,09-02-2001,[66300],4 Earle Drive Neston United Kingdom CH64 6RZ,9.0
RSB PARTNERSHIP LIMITED,04174592,ltd,07-03-2001,[66300],Paynes Park House Hitchin England SG5 1EH,9.0
C L & H DEVELOPMENTS LIMITED,05369689,ltd,18-02-2005,[66300],68 Queen Street South Yorkshire S1 1WR,9.0
SPINNAKER INVESTMENT MANAGEMENT LIMITED,06802467,ltd,27-01-2009,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
SEAN JONES WEALTH MANAGEMENT LIMITED,06813317,ltd,09-02-2009,[66300],Clifton House 2 Clifton Centre Malvern England WR14 1BJ,9.0
UNIVERSITY OF CAMBRIDGE INVESTMENT MANAGEMENT LIMITED,06907395,ltd,15-05-2009,[66300],The Old Schools Cambridge England CB2 1TN,9.0
STERLING ALTERNATIVE ASSET MANAGEMENT LTD.,11241240,ltd,08-03-2018,"[64999, 66300]",1st Floor 124 Cleveland Street London United Kingdom W1T 6PG,9.0
EURO CREDITS ALLIANCE GROUP LTD,11617088,ltd,11-10-2018,"[66120,66300,68320, 80100]",246-250 Romford Road London England E7 9HZ,9.0
SKIPVALE LIMITED,01313413,ltd,11-05-1977,[66300],Tudor House Huby LS17 0EF,9.0
M P INVESTMENT MANAGEMENT LTD,07174461,ltd,02-03-2010,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
AMP DERIVATIVES LTD,06782274,ltd,05-01-2009,[66300],16 Pinner Park Gardens Harrow England HA2 6LQ,9.0
SDG INVESTMENTS LIMITED,04149294,ltd,29-01-2001,[66300],Unit 5 Swaker Yard Herts England WD6 4SE,9.0
GRAVITAS INVESTMENT FUND LIMITED,05730106,ltd,06-03-2006,[66300],12 Hatherley Road Kent DA14 4DT,9.0
RITZCO LTD,07983564,ltd,09-03-2012,[66300],Flat 52 Gean Court London N11 2NF,9.0
LITHGOW INVESTMENT COMPANY LIMITED,00598290,ltd,03-02-1958,[66300],"St.,  Julians,  Kent,  TN15 0RX",9.0
SHANE WHEELER WEALTH MANAGEMENT LIMITED,07178343,ltd,04-03-2010,[66300],Unit 7a Radford Crescent Billericay England CM12 0DU,9.0
MAYFAIR INVESTMENT & REAL ESTATE GROUP LTD,14556731,ltd,23-12-2022,"[64306,64910,64999, 66300]",5 Greenwich View Place London United Kingdom E14 9NN,9.0
S.V.C. LIMITED,01724259,ltd,18-05-1983,[66300],Suite 1 Belvedere Preston PR2 9NU,9.0
JAMOS MANAGEMENT LIMITED,06881468,ltd,20-04-2009,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
ANDREW C GRANT FINANCIAL SERVICES LIMITED,04254576,ltd,18-07-2001,[66300],13 Liverpool Road North Maghull United Kingdom L31 2HB,9.0
MM PROPERTY RENTALS LTD,14205088,ltd,30-06-2022,"[64209,64304,64999, 66300]",4 Wimbledon Close London England SW20 8HW,9.0
SOVEREIGN WEALTH PORTFOLIO LTD,11463370,ltd,13-07-2018,"[49390,66120,66300, 68100]",71-75 Shelton Street London United Kingdom WC2H 9JQ,9.0
HIGHAMBURY LIMITED,01028034,ltd,20-10-1971,[66300],Market House Saffron Walden England CB10 1JZ,9.0
CHARAN MANAGEMENT LIMITED,06881191,ltd,20-04-2009,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT,9.0
AFS (AFRICAN FORUM SCOTLAND) GLOBAL LTD,SC659759,ltd,22-04-2020,"[01500,66300,74909, 82990]",13 Bangor Road Edinburgh Scotland EH6 5JY,9.0
SUMMERLEA COURT LIMITED,10524348,ltd,14-12-2016,"[66300,68100,68209, 68320]",Parsons Farm Petersfield United Kingdom GU32 1BJ,9.0
REVERSE CAPITAL LTD,14094321,ltd,09-05-2022,"[62020,64991,66300, 70221]",42b Castlewood Road London England N16 6DW,9.0
THE EDGE C GROUP LTD,06775372,ltd,17-12-2008,[66300],The Old Barn Swanley Village BR8 7PA,9.0
THE STRACHAN PARTNERSHIP LTD.,SC283174,ltd,13-04-2005,[66300],37 Hay Crescent Aberdeenshire AB42 1HH,9.0
PANORAMIC GROWTH EQUITY (GENERAL PARTNER 1) LIMITED,SC352848,ltd,23-12-2008,[66300],The Garment Factory Suite 7 Glasgow Scotland G1 1RE,9.0
ACCRUE LIMITED,04185133,ltd,22-03-2001,[66300],4 Queen Street Bath England BA1 1HE,9.0
STANAGE INVESTMENTS LTD,05121865,ltd,07-05-2004,[66300],"Stanage,  Roslyn Road Telford TF1 3AX",9.0
ALCHEMY CREW LTD,12646471,ltd,04-06-2020,"[66190,66300, 70229]",Hamilton House Dunne & Waterman London England EC4Y 0HA,9.0
CHART STRATEGIES LIMITED,07465372,ltd,09-12-2010,[66300],Second Floor Ridgeland House Horsham England RH12 1ER,9.0
M J CALDERBANK LIMITED,04632726,ltd,09-01-2003,[66300],Rustic Ridge Coventry CV7 7DB,9.0
MONTANARO INVESTMENT MANAGERS LIMITED,02982410,ltd,24-10-1994,[66300],53 Threadneedle Street null EC2R 8AR,9.0
FOWLER DREW LIMITED,04384956,ltd,01-03-2002,[66300],C/O Bishop Fleming Brook House Clyst St. Mary England EX5 1GD,9.0
WMP MANAGEMENT SERVICES LTD,14363395,ltd,20-09-2022,"[64999,66300,68209, 68320]",128 City Road London EC1V 2NX,9.0
STRATA LENDING PLC,09329385,plc,26-11-2014,[66300],"Terminal Buildings,  Blackbushe Airport,  Camberley England GU17 9LQ",9.0
EVERGRIIN EUROPEAN LTD,NI691993,ltd,19-10-2022,"[64205,66300,70221, 82990]",Nw Business Complex - Companyplanet Services Londonderry Northern Ireland BT48 8SE,9.0
THE STELLAR (LP) LIMITED,06504888,ltd,15-02-2008,[66300],C/O Stellar Asset Management Limited Liverpool United Kingdom L3 9AG,9.0
MILVIAN BRIDGE LIMITED,08333029,ltd,17-12-2012,[66300],3rd Floor 45 Albermarle Street London England W1S 4JL,9.0
NUBMONEY LTD,13962728,ltd,08-03-2022,"[64999,66190,66300, 82990]",23 Haycroft Gardens London NW10 3BJ,9.0
STERLING ACCEPTANCES LIMITED,14449831,ltd,28-10-2022,"[64191,64921,64999, 66300]",31 Belson Road London England SE18 5PU,9.0
BARNWOOD PROPERTIES LIMITED,00600319,ltd,11-03-1958,[66300],10 Brindleyplace Birmingham United Kingdom B1 2JB,9.0
FRANK INVESTMENTS LIMITED,05629005,ltd,18-11-2005,[66300],27 Holly Walk Leamington Spa England CV32 4NN,9.0
RENDEZVOUS 7 UK LTD,12558391,ltd,16-04-2020,"[66220,66300,78300, 82990]",235 The Fairway Ruislip England HA4 0SN,9.0
AMG CAPITAL PARTNERS LIMITED,04177241,ltd,12-03-2001,[66300],Flat 7 58 York Road Tunbridge Wells United Kingdom TN1 1JY,9.0
GCP EUROPE GP2 LTD,08140851,ltd,12-07-2012,[66300],14-16 Bruton Place London W1J 6LX,9.0
M&D CLAIM LTD,10346349,ltd,25-08-2016,"[66210,66300, 77110]",95 Mortimer Street London England W1W 7GB,9.0
YEALAND FUND SERVICES LIMITED,06923395,ltd,03-06-2009,[66300],"Fountain Suite B,  Lynch Wood Park Peterborough England PE2 6FZ",9.0
BLUECLOUD CAPITAL LIMITED,08893496,ltd,13-02-2014,"[62012, 66300]",Kemp House London England EC1V 2NX,9.0
WALTER GURNEY & SON LIMITED,00262619,ltd,11-02-1932,[66300],1 Doolittle Yard Ampthill United Kingdom MK45 2NW,9.0
SAAM HOLDINGS LTD,SC615824,ltd,10-12-2018,"[64999,66300, 70221]",48 West George Street Glasgow Scotland G2 1BP,9.0
WOOLLEY PROJECT MANAGEMENT LIMITED,05301656,ltd,01-12-2004,[66300],Pilgrims Barn Green Road Stowmarket England IP14 3RA,9.0
MULMINSTER LIMITED,02039188,ltd,21-07-1986,[66300],Room 2 Ingram House Cheshunt England EN8 9XB,9.0
BAILLIE GIFFORD OVERSEAS LIMITED,SC084807,ltd,29-09-1983,[66300],3 Haymarket Square Edinburgh United Kingdom EH3 8RY,9.0
MITSUBISHI UFJ BAILLIE GIFFORD ASSET MANAGEMENT LIMITED,SC122044,ltd,21-12-1989,[66300],3 Haymarket Square Edinburgh United Kingdom EH3 8RY,9.0
ARCUS INVESTMENT LIMITED,03582673,ltd,11-06-1998,[66300],Highdown House Worthing United Kingdom BN99 3HH,9.0
HAMILL LTD,14479438,ltd,11-11-2022,"[66300,70221,70229, 72110]",7 Bell Yard London England WC2A 2JR,9.0
ALTO PRIVATE CLIENTS LIMITED,07091239,ltd,01-12-2009,[66300],Building 2 Ground Floor Guildford England GU2 8XG,9.0
AUBREY CAPITAL MANAGEMENT LIMITED,SC299239,ltd,20-03-2006,[66300],37 Melville Street Edinburgh Scotland EH3 7JF,9.0
