company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
SHEFFIELD CITY OPPORTUNITIES CIC,16312297,private-limited-guarant-nsc,12-03-2025,"[59112,66300,82302, 96040]",68 Carter Knowle Road Sheffield England S7 2DX,2.5
ZOX MARKETS LIMITED,16364887,ltd,04-04-2025,"[66110, 66300]","2nd Floor College House Ruislip,  United Kingdom HA4 7AE",2.5
CASPIAN CAPITAL MANAGEMENT LTD,16564280,ltd,07-07-2025,"[66300, 68209]",72 Glendale Avenue Eastbourne England BN21 1UN,2.5
RAINBOW CENTRAL CIC,13122335,private-limited-guarant-nsc,08-01-2021,[66300],50a-50b Cambridge Road London England SW11 4RR,2.5
THE FAMILY RESTAURANT GROUP LIMITED,16207793,ltd,24-01-2025,"[56102, 66300]",104 Park Avenue Castleford England WF10 2AR,2.5
IMPASSIVE LTD,14789355,ltd,10-04-2023,[66300],19 Regent Square Salford England M5 3RP,2.5
AJ ESTATES HOLDINGS LTD,16601231,ltd,23-07-2025,"[66300, 68100]","Unit 101,  First Floor,  Cervantes House,  5-9 Headstone Road Harrow England HA1 1PD",2.5
BENJAMIN CAPITAL LIMITED,16447146,ltd,13-05-2025,"[46900, 66300]",Suite 34320 61 Bridge Street Herefordshire United Kingdom HR5 3DJ,2.5
THIRAVI LTD,16773731,ltd,09-10-2025,"[64991, 66300]",15 Mossdale Road Leicester England LE3 2UT,2.5
MENSAH INVESTMENTS LTD,16650246,ltd,14-08-2025,"[66300, 68209]",10 Towerfield Road Southend-On-Sea England SS3 9QE,2.5
CONSTAAS DIGITAL FINANCE LTD,16883635,ltd,01-12-2025,"[66120, 66300]","7 Copperfield Road,  Coventry West Midlands,  England United Kingdom CV2 4AQ",2.5
ASCEND EQUITY LIMITED,16690473,ltd,02-09-2025,"[64303, 66300]",49 Broadlands Avenue Hockley England SS5 5EP,2.5
PROGRESS NELSON LANE LTD,15020695,ltd,22-07-2023,[66300],3 Redthorne Grove Kenilworth England CV8 2EF,2.5
RUSTY VIKING INVEST LTD,16673309,ltd,26-08-2025,"[41100, 66300]",Carpenter Court 1 Maple Road Stockport United Kingdom SK7 2DH,2.5
