company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
PONTAQ NOMINEES LIMITED,11295566,active,ltd,,06-04-2018,06-04-2018,[66300],35 Danson Crescent Welling United Kingdom DA16 2AL,name pattern: nominee entity
STRIDE MANAGEMENT GP LIMITED,13236236,active,ltd,,01-03-2021,01-03-2021,[66300],4 Grotto Passage London England W1U 4JX,name pattern: GP entity
GENESIS GP LIMITED,14823102,active,ltd,,24-04-2023,24-04-2023,[66300],Ground Floor London United Kingdom SW1Y 5JG,name pattern: GP entity
13 INVESTMENT MANAGEMENT LIMITED,16178801,active,ltd,,13-01-2025,13-01-2025,[66300],Acre House London United Kingdom NW1 3ER,only SIC 66300 + incorporated 2024 or later
ZIVE CAPITAL - NORWICH UK GP LIMITED,14934896,active,ltd,,14-06-2023,14-06-2023,[66300],47 Park Lane London England W1K 1PR,name pattern: GP entity
AYA ASSET MANAGEMENT LTD,16576113,active,ltd,,11-07-2025,11-07-2025,[66300],88-90 Hatton Garden Farringdon United Kingdom EC1N 8PN,only SIC 66300 + incorporated 2024 or later
RESOLUTION IMPACT VENTURES LTD,15745968,active,ltd,,28-05-2024,28-05-2024,[66300],2 Queen Anne's Gate London United Kingdom SW1H 9AA,only SIC 66300 + incorporated 2024 or later
CROSSROADS EUROPE (INVESTMENTS) LIMITED,15961080,active,ltd,,17-09-2024,17-09-2024,[66300],First Floor London United Kingdom W1U 2BP,only SIC 66300 + incorporated 2024 or later
AMANAH ALLIANCE LIMITED,16598565,active,ltd,,22-07-2025,22-07-2025,[66300],5 Ossulbury Lane Aylesbury United Kingdom HP19 9DW,only SIC 66300 + incorporated 2024 or later
QUANTIFY CAPITAL LTD,16475467,active,ltd,,27-05-2025,27-05-2025,[66300],124 City  Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
THORNTONS FINANCIAL PLANNING LIMITED,SC850248,active,ltd,,28-05-2025,28-05-2025,[66300],Whitehall House Dundee Scotland DD1 4BJ,only SIC 66300 + incorporated 2024 or later
THE WHITE ROSE CAPITAL GROUP LIMITED,16321276,active,ltd,,17-03-2025,17-03-2025,[66300],Little Pinkneys Maidenhead England SL6 6PE,only SIC 66300 + incorporated 2024 or later
SS SAH LIMITED,15549201,active,ltd,,08-03-2024,08-03-2024,[66300],8 Sackville Street London England W1S 3DG,only SIC 66300 + incorporated 2024 or later
ZILARRA HOLDINGS LIMITED,15547841,active,ltd,,08-03-2024,08-03-2024,[66300],37 Moss Lane Stockport England SK7 1EQ,only SIC 66300 + incorporated 2024 or later
HCFSTRATEGIES LTD,16344805,active,ltd,,26-03-2025,26-03-2025,[66300],31 Sydney Road London England W13 9EZ,only SIC 66300 + incorporated 2024 or later
APJW HOLDINGS LTD,16458532,active,ltd,,19-05-2025,19-05-2025,[66300],Swallow House Douglas Lane Winsford United Kingdom CW7 4BH,only SIC 66300 + incorporated 2024 or later
NODEM LIMITED,15661530,active,ltd,,19-04-2024,19-04-2024,[66300],Tobias House St Mark's Court Teesside England TS17 6QW,only SIC 66300 + incorporated 2024 or later
LINGOTTO INTERSECTION UK LTD,16489717,active,ltd,,02-06-2025,02-06-2025,[66300],7 Seymour Street London United Kingdom W1H 7JW,only SIC 66300 + incorporated 2024 or later
JERPOINT CAPITAL (UK) HOLDINGS LTD,16493238,active,ltd,,03-06-2025,03-06-2025,[66300],27 Old Gloucester Street London United Kingdom WC1N 3AX,only SIC 66300 + incorporated 2024 or later
JERPOINT CAPITAL (UK) MANAGEMENT HOLDINGS LTD,16493454,active,ltd,,03-06-2025,03-06-2025,[66300],27 Old Gloucester Street London United Kingdom WC1N 3AX,only SIC 66300 + incorporated 2024 or later
JERPOINT CAPITAL (UK) MANAGEMENT LTD,16493932,active,ltd,,03-06-2025,03-06-2025,[66300],27 Old Gloucester Street London United Kingdom WC1N 3AX,only SIC 66300 + incorporated 2024 or later
MADDISON CAPITAL LTD,16498485,active,ltd,,05-06-2025,05-06-2025,[66300],"2nd Floor College House Ruislip,  United Kingdom HA4 7AE",only SIC 66300 + incorporated 2024 or later
ALIMITA 3 LIMITED,16495825,active,ltd,,04-06-2025,04-06-2025,[66300],Office 1 Hatherton Court Walsall England WS4 2LA,only SIC 66300 + incorporated 2024 or later
A1X TRADING LIMITED,16338015,active,ltd,,24-03-2025,24-03-2025,[66300],75 Grosvenor Street London England W1K 3JS,only SIC 66300 + incorporated 2024 or later
DAVI INVESTMENTS LIMITED,16433949,active,ltd,,07-05-2025,07-05-2025,[66300],19a Queen's Gate London England SW7 5JE,only SIC 66300 + incorporated 2024 or later
SHAWCAPITAL PARTNERS LTD,16431304,active,ltd,,06-05-2025,06-05-2025,[66300],32 Brookfield Avenue Manchester England M21 8TX,only SIC 66300 + incorporated 2024 or later
MK FAMILY OFFICE LIMITED,16435104,active,ltd,,07-05-2025,07-05-2025,[66300],65 London Wall London England EC2M 5TU,only SIC 66300 + incorporated 2024 or later
TENACITY FINANCIAL LTD,16465104,active,ltd,,21-05-2025,21-05-2025,[66300],57 Dominion Drive Romford England RM5 2QS,only SIC 66300 + incorporated 2024 or later
ANCIENT GENUS LTD,16509911,active,ltd,,10-06-2025,10-06-2025,[66300],35 Gwillim Close Sidcup England DA15 9NQ,only SIC 66300 + incorporated 2024 or later
STARK TECHNOLOGY PVT LTD,16508811,active,ltd,,10-06-2025,10-06-2025,[66300],42 Second Avenue London England W3 7RX,only SIC 66300 + incorporated 2024 or later
FANG LTD,16507810,active,ltd,,10-06-2025,10-06-2025,[66300],5 Atherstone Mews London England SW7 5BX,only SIC 66300 + incorporated 2024 or later
AXIONONE LTD,16917230,active,ltd,,17-12-2025,17-12-2025,[66300],27 Knightsbridge London England SW1X 7LY,only SIC 66300 + incorporated 2024 or later
FFYB LTD,16919342,active,ltd,,18-12-2025,18-12-2025,[66300],Astute House Wilmslow England SK9 3HP,only SIC 66300 + incorporated 2024 or later
INDEPENDENCE CAPITAL I LIMITED,13214554,active,ltd,,19-02-2021,19-02-2021,[66300],"1st Floor,  Venture House Wilmslow England SK9 5AP",name pattern: roman-numeral fund series suffix
LYNSTONE AUK QAHC LTD,17004293,active,ltd,,30-01-2026,30-01-2026,[66300],10th Floor 5 Churchill Place London United Kingdom E14 5HU,only SIC 66300 + incorporated 2024 or later
LONSDALE CAPITAL PARTNERS II LIMITED,09735105,active,ltd,,16-08-2015,16-08-2015,[66300],36 Upper Brook Street London United Kingdom W1K 7QJ,name pattern: roman-numeral fund series suffix
BRERETON FUTURE FINANCE LTD,17009288,active,ltd,,03-02-2026,03-02-2026,[66300],Dickens House 3-7 Guithavon Street Witham England CM8 1BJ,only SIC 66300 + incorporated 2024 or later
INTREPID GROWTH PARTNERS HOLDINGS (UK) LTD,16191835,active,ltd,,17-01-2025,17-01-2025,[66300],Congregation House Parsonage Street Halstead England CO9 2JW,only SIC 66300 + incorporated 2024 or later
ORANGE CAPITAL PARTNERS UK LTD,16791921,active,ltd,,17-10-2025,17-10-2025,[66300],"Orange Capital,  Office 02 3rd Floor The Triangle London England NW1 8AB",only SIC 66300 + incorporated 2024 or later
ACORN PORTFOLIO INVESTMENTS NO 3 LIMITED,17026955,active,ltd,,11-02-2026,11-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
ACORN PORTFOLIO INVESTMENTS NO 4 LIMITED,17026958,active,ltd,,11-02-2026,11-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
ACORN PORTFOLIO INVESTMENTS NO 2 LIMITED,17026952,active,ltd,,11-02-2026,11-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
ACORN PORTFOLIO INVESTMENTS NO 1 LIMITED,17026951,active,ltd,,11-02-2026,11-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
ACORN GREEN INVESTMENTS NO 3 LIMITED,17026942,active,ltd,,11-02-2026,11-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
ALBIAN GROUP LTD,17038815,active,ltd,,17-02-2026,17-02-2026,[66300],40 Seymour Road Manchester England M8 5BR,only SIC 66300 + incorporated 2024 or later
ACORN GREEN INVESTMENTS NO 4 LIMITED,17028626,active,ltd,,12-02-2026,12-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
API BRISTOL ZOO NO1 LIMITED,17048795,active,ltd,,23-02-2026,23-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
API BRISTOL ZOO NO2 LIMITED,17048814,active,ltd,,23-02-2026,23-02-2026,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
EXCORDE EUROPE EQUITY ADVISORS LTD,17041619,active,ltd,,18-02-2026,18-02-2026,[66300],Castle House London United Kingdom W1T 3QH,only SIC 66300 + incorporated 2024 or later
NSII EDUCATION 1 LTD,17039852,active,ltd,,18-02-2026,18-02-2026,[66300],"First Floor,  50 Marshall Street London United Kingdom W1F 9BQ",only SIC 66300 + incorporated 2024 or later
KLINE HILL PARTNERS (UK) LIMITED,16514693,active,ltd,,12-06-2025,12-06-2025,[66300],5 Wigmore Street London United Kingdom W1U 1PB,only SIC 66300 + incorporated 2024 or later
LMVH LTD,17057074,active,ltd,,26-02-2026,26-02-2026,[66300],Greenfield Grove Road Chester United Kingdom CH1 6LG,only SIC 66300 + incorporated 2024 or later
MJ CUNNINGHAM AND CO LIMITED,17058358,active,ltd,,26-02-2026,26-02-2026,[66300],158 Roe Lane Southport England PR9 7PN,only SIC 66300 + incorporated 2024 or later
VENDOR ENTERPRISES LTD,16368442,active,ltd,,07-04-2025,07-04-2025,[66300],Greenbank Court Challenge Way Blackburn United Kingdom BB1 5QB,only SIC 66300 + incorporated 2024 or later
CABURN INVESTMENTS LTD,17041064,active,ltd,,18-02-2026,18-02-2026,[66300],44-46 Old Steine Brighton England BN1 1NH,only SIC 66300 + incorporated 2024 or later
ENDLESS VI FIRST PARTNER LIMITED,17078328,active,ltd,,09-03-2026,09-03-2026,[66300],Ground Floor Leeds United Kingdom LS1 2HL,only SIC 66300 + incorporated 2024 or later
ENDLESS VI SECOND PARTNER LIMITED,17078484,active,ltd,,09-03-2026,09-03-2026,[66300],Ground Floor Leeds United Kingdom LS1 2HL,only SIC 66300 + incorporated 2024 or later
HERON GLOBAL INCOME LIMITED,17078901,active,ltd,,09-03-2026,09-03-2026,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
E. SANSON INVESTMENTS LTD,16785666,active,ltd,,15-10-2025,15-10-2025,[66300],9 Tregarne Terrace Saint Austell United Kingdom PL25 4DD,only SIC 66300 + incorporated 2024 or later
ECI 12 SPECIAL PURPOSE MIDCO 1 LIMITED,16559346,active,ltd,,03-07-2025,03-07-2025,[66300],Building 4 Croxley Park Watford United Kingdom WD18 8YF,name pattern: midco
REDRICE II (ENGLAND) LTD,16780278,active,ltd,,13-10-2025,13-10-2025,[66300],"Unit 103,  Tea Building 56 Shoreditch High Street London United Kingdom E1 6JJ",only SIC 66300 + incorporated 2024 or later
MINNOW INVESTMENTS LIMITED,16698150,active,ltd,,05-09-2025,05-09-2025,[66300],Flat 25 Hatch Building London England E9 5TU,only SIC 66300 + incorporated 2024 or later
UNIGESTION PE UK LTD.,16291562,active,ltd,,04-03-2025,04-03-2025,[66300],52 Jermyn Street London England SW1Y 6LX,only SIC 66300 + incorporated 2024 or later
KP ADVISORY LIMITED,16704915,active,ltd,,09-09-2025,09-09-2025,[66300],C/O Digital Tax Accountant Ilford England IG2 6RZ,only SIC 66300 + incorporated 2024 or later
DIAMOND RED HOLDINGS LTD,16062384,active,ltd,,05-11-2024,05-11-2024,[66300],"1st Floor,  5 Century Court Watford England WD18 9PX",only SIC 66300 + incorporated 2024 or later
GP-LOC2 LTD,16709558,active,ltd,,10-09-2025,10-09-2025,[66300],26 Biddulph Road South Croydon England CR2 6QA,name pattern: GP entity
CLARKY LIMITED,16830356,active,ltd,,04-11-2025,04-11-2025,[66300],125 Noak Hill Road Billericay United Kingdom CM12 9UJ,only SIC 66300 + incorporated 2024 or later
HERONDALE LTD,16776992,active,ltd,,10-10-2025,10-10-2025,[66300],"2nd Floor College House Ruislip,  United Kingdom HA4 7AE",only SIC 66300 + incorporated 2024 or later
BELSIO LTD,16083215,active,ltd,,15-11-2024,15-11-2024,[66300],47 Great Marlborough Street London England W1F 7JP,only SIC 66300 + incorporated 2024 or later
TRIADA NJS UNLIMITED,16793507,active,private-unlimited,,17-10-2025,17-10-2025,[66300],Thistlewell Cottage Cuck Hill Winscombe BS25 1RD,only SIC 66300 + incorporated 2024 or later
BLINKO CRYPTO ARBITRAGE LIMITED,16796852,active,ltd,,20-10-2025,20-10-2025,[66300],66 Belsize Park Gardens London England NW3 4NE,only SIC 66300 + incorporated 2024 or later
BROADOAK COMMUNITY INVESTMENTS CIC,16703931,active,private-limited-guarant-nsc,community-interest-company,09-09-2025,09-09-2025,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
BLACKOAK INTERMEDIATE LIFE LIMITED,16803700,active,ltd,,22-10-2025,22-10-2025,[66300],One City Place Chester United Kingdom CH1 3BQ,only SIC 66300 + incorporated 2024 or later
N6 AI LTD,16839343,active,ltd,,07-11-2025,07-11-2025,[66300],"Unit F Prologis Park,  Green Lane London United Kingdom TW4 6ER",only SIC 66300 + incorporated 2024 or later
BRAYMONT ASSET GROUP LIMITED,16833066,active,ltd,,05-11-2025,05-11-2025,[66300],Office 55rb 182-184 High Street North Area 1/1 East Ham United Kingdom E6 2JA,only SIC 66300 + incorporated 2024 or later
CONCENTRIC TEAM TECHNOLOGY II GP LIMITED,13683432,active,ltd,,15-10-2021,15-10-2021,[66300],18 Balderton Street London England W1K 6TG,name pattern: GP entity
KOCERLER LTD,16847171,active,ltd,,11-11-2025,11-11-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
PARKINSON'S PIONEER CAPITAL ADVISORS LTD,16852634,active,ltd,,13-11-2025,13-11-2025,[66300],14 Osten Mews London United Kingdom SW7 4HW,only SIC 66300 + incorporated 2024 or later
POOL ENTERPRISES LIMITED,16854648,active,ltd,,13-11-2025,13-11-2025,[66300],167-169 Great Portland Street London England W1W 5PF,only SIC 66300 + incorporated 2024 or later
ROSA AGGREGATOR GP LIMITED,SC869956,active,ltd,,13-11-2025,13-11-2025,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
JOEMOODY164 LTD,16873558,active,ltd,,25-11-2025,25-11-2025,[66300],35 Hornton Street London United Kingdom W8 7NR,only SIC 66300 + incorporated 2024 or later
GLOBAL DIGITAL ASSET MANAGEMENT LTD,16546316,active,ltd,,27-06-2025,27-06-2025,[66300],223 St. Albans Road Watford England WD24 5BH,only SIC 66300 + incorporated 2024 or later
FTVC NOMINEE LIMITED,16800648,active,ltd,,21-10-2025,21-10-2025,[66300],1 St. James Court Norwich United Kingdom NR3 1RU,name pattern: nominee entity
TRINITY DC GP LIMITED,06942099,active,ltd,,23-06-2009,23-06-2009,[66300],55 King Street Manchester England M2 4LQ,name pattern: GP entity
EITANIS INVESTMENTS LTD,16880387,active,ltd,,28-11-2025,28-11-2025,[66300],24 Folly Avenue St. Albans England AL3 5QD,only SIC 66300 + incorporated 2024 or later
SAPPHIREF LIMITED,16886515,active,ltd,,02-12-2025,02-12-2025,[66300],C/O Fieldfisher Riverbank House London United Kingdom EC4R 3TT,only SIC 66300 + incorporated 2024 or later
IONA STAR MANAGED LIMITED,16892990,active,ltd,,05-12-2025,05-12-2025,[66300],"Iona Star Fora,  London England SE1 9PA",only SIC 66300 + incorporated 2024 or later
OCTOPUS ENERGY DEVELOPMENT PARTNERSHIP II GP LIMITED,16953911,active,ltd,,09-01-2026,09-01-2026,[66300],Uk House 5th Floor London United Kingdom W1D 1NN,name pattern: GP entity
BRAMBLE INVESTMENT MANAGEMENT LIMITED,16127246,active,ltd,,10-12-2024,10-12-2024,[66300],"Belle House,  1 Victoria Mainline Station London England SW1V 1JT",only SIC 66300 + incorporated 2024 or later
LEXHAM I GP LTD,15432967,active,ltd,,22-01-2024,22-01-2024,[66300],"C/O Thompson Taraz Llp Stanhope House, 47 Park Lane United Kingdom W1K 1PR",name pattern: GP entity
BOTO HEDGE LIMITED,16972940,active,ltd,,19-01-2026,19-01-2026,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
ARXNOVA HOLDINGS LIMITED,16520018,active,ltd,,16-06-2025,16-06-2025,[66300],10 Queen Street Place London United Kingdom EC4R 1AG,only SIC 66300 + incorporated 2024 or later
EMRAL MANAGEMENT,16631505,active,private-unlimited,,06-08-2025,06-08-2025,[66300],Pharmacy Chambers Wadhurst TN5 6AP,only SIC 66300 + incorporated 2024 or later
QUINEX INTERNATIONAL LIMITED,16631964,active,ltd,,06-08-2025,06-08-2025,[66300],39 Goldhawk Road London England W12 8QQ,only SIC 66300 + incorporated 2024 or later
ROYAL EXCHANGE INVESTMENT MANAGEMENT LTD,16602454,active,ltd,,23-07-2025,23-07-2025,[66300],1 King William Street London United Kingdom EC4N 7AF,only SIC 66300 + incorporated 2024 or later
GOLDSTONES TRADERS LTD,16643852,active,ltd,,11-08-2025,11-08-2025,[66300],12 Stanley Street Stoke-On-Trent England ST6 6BW,only SIC 66300 + incorporated 2024 or later
GROWTH CREDIT ASSOCIATION LTD,16646305,active,private-limited-guarant-nsc,,12-08-2025,12-08-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
ALBION FINANCIAL SERVICES LTD,16725092,active,ltd,,17-09-2025,17-09-2025,[66300],58 Woodruff Avenue Hove England BN3 6PJ,only SIC 66300 + incorporated 2024 or later
JRFUTURES TRADING LTD,16727577,active,ltd,,18-09-2025,18-09-2025,[66300],20 Wenlock Road London England N1 7GU,only SIC 66300 + incorporated 2024 or later
QUANTD CAPITAL LTD,16734661,active,ltd,,22-09-2025,22-09-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
ALETHIC CAPITAL LTD,16485415,active,ltd,,30-05-2025,30-05-2025,[66300],2nd Floor Malta House London United Kingdom W1J 0DP,only SIC 66300 + incorporated 2024 or later
GREEN SEEDRS X LTD,15278356,active,ltd,,13-11-2023,13-11-2023,"[66300, 70229]",Scotia Building 5 Jardine Road London England E1W 3WA,name pattern: roman-numeral fund series suffix
CASTRO17 LTD,16745252,active,ltd,,26-09-2025,26-09-2025,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
STERLING HAVEN WEALTH LTD,16746131,active,ltd,,26-09-2025,26-09-2025,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
BELGATRIX LIMITED,16739489,active,ltd,,24-09-2025,24-09-2025,[66300],14 Whitfield Road London England E6 1AS,only SIC 66300 + incorporated 2024 or later
ACROS CAPITAL MANAGEMENT LIMITED,15662695,active,ltd,,20-04-2024,20-04-2024,[66300],185 Mead Way Bromley England BR2 9ES,only SIC 66300 + incorporated 2024 or later
COMMONWEALTH A.C.T LIMITED,16740287,active,ltd,,24-09-2025,24-09-2025,[66300],"Level 30,  The Leadenhall Building City Of London United Kingdom EC3V 4AB",only SIC 66300 + incorporated 2024 or later
NFG ADVISORY LIMITED,16737005,active,ltd,,23-09-2025,23-09-2025,[66300],7 Savoy Court London England WC2R 0EX,only SIC 66300 + incorporated 2024 or later
LONGSHANKS TRADING LIMITED,16752120,active,ltd,,30-09-2025,30-09-2025,[66300],Berkeley Square House Berkeley Square London United Kingdom W1J 6DB,only SIC 66300 + incorporated 2024 or later
MCKENZIE'S DIGITAL ASSETS INVESTMENTS LIMITED,16752454,active,ltd,,30-09-2025,30-09-2025,[66300],Field View House 4 Fortune Close Newark United Kingdom NG22 0FG,only SIC 66300 + incorporated 2024 or later
ASTOLAT CAPITAL LTD,16636154,active,ltd,,07-08-2025,07-08-2025,[66300],2nd Floor Malta House London England W1J 0DP,only SIC 66300 + incorporated 2024 or later
SKF CREDIT OPPORTUNITIES LIMITED,16665108,active,ltd,,21-08-2025,21-08-2025,[66300],Station House Station Approach Leatherhead United Kingdom KT24 6QX,only SIC 66300 + incorporated 2024 or later
A SOHAL INVESTMENTS LIMITED,16648481,active,ltd,,13-08-2025,13-08-2025,[66300],100 Canterbury Road West Bromwich England B71 2LF,only SIC 66300 + incorporated 2024 or later
FC AI LIMITED,16676316,active,ltd,,27-08-2025,27-08-2025,[66300],54 Welbeck Street London England W1G 9XS,only SIC 66300 + incorporated 2024 or later
TRADFI2DEFI LTD,16676343,active,ltd,,27-08-2025,27-08-2025,[66300],Hardy House Berkhamsted England HP4 1EF,only SIC 66300 + incorporated 2024 or later
AMPLITUDE TOPCO LIMITED,16556499,active,ltd,,02-07-2025,02-07-2025,[66300],Unit B1 Kembrey Street Swindon England SN2 8UY,name pattern: topco
CORINTHIA GLOBAL MANAGEMENT SERVICES LIMITED,16608520,active,ltd,,28-07-2025,28-07-2025,[66300],Sixth Floor London England W1G 0PW,only SIC 66300 + incorporated 2024 or later
NSS SOCIAL CARE HOLDINGS LTD,16585929,active,ltd,,16-07-2025,16-07-2025,[66300],Eagle House First Floor London United Kingdom W1F 9BQ,only SIC 66300 + incorporated 2024 or later
GREENROCK CRONUS CAPITAL PARTNERS (UK) LIMITED,16588888,active,ltd,,17-07-2025,17-07-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
EDT VENTURES LIMITED,16591180,active,ltd,,18-07-2025,18-07-2025,[66300],The Stables Alton England GU34 1HG,only SIC 66300 + incorporated 2024 or later
ASPIRITY PARTNERS HOLDINGS LIMITED,15842019,active,ltd,,16-07-2024,16-07-2024,[66300],6th Floor 25 Farringdon Street London United Kingdom EC4A 4AB,only SIC 66300 + incorporated 2024 or later
HEGEL CAPITAL LTD,16939221,active,ltd,,02-01-2026,02-01-2026,[66300],45 Circus Road London England NW8 9JH,only SIC 66300 + incorporated 2024 or later
SANDSTONE CAPITAL LIMITED,16944941,active,ltd,,06-01-2026,06-01-2026,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
REALM INVESTMENT HOUSE UK LTD,16905598,active,ltd,,12-12-2025,12-12-2025,[66300],4th Floor 3 More London Riverside London United Kingdom SE1 2AQ,only SIC 66300 + incorporated 2024 or later
BEECHBROOK UK SME CO-INVESTMENT II LIMITED,16945621,active,ltd,,06-01-2026,06-01-2026,[66300],93 Gloucester Place London England W1U 6JQ,name pattern: co-invest vehicle
FOCUS INDUSTRIAL TOPCO GP LIMITED,17079626,active,ltd,,09-03-2026,09-03-2026,[66300],C/O Uk Storage Consultancy Limited Wework London United Kingdom W6 7NL,name pattern: GP entity
INVESTX LIMITED,16329499,active,ltd,,20-03-2025,20-03-2025,[66300],36 Beaconsfield Road London England SE3 7LZ,only SIC 66300 + incorporated 2024 or later
RWA VENTURES LTD,17079990,active,ltd,,09-03-2026,09-03-2026,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
GEMIAN CAPITAL MANAGEMENT LTD,17082047,active,ltd,,10-03-2026,10-03-2026,[66300],"2nd Floor College House Ruislip,  United Kingdom HA4 7AE",only SIC 66300 + incorporated 2024 or later
GLOB PAY UK LIMITED,17093160,active,ltd,,16-03-2026,16-03-2026,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
RATHLIN ASSET MANAGEMENT LIMITED,NI738894,active,ltd,,18-03-2026,18-03-2026,[66300],Apartment 3 Rockhaven Portstewart Northern Ireland BT55 7WE,only SIC 66300 + incorporated 2024 or later
JOLT WEALTH MANAGEMENT LIMITED,SC884279,active,ltd,,29-03-2026,29-03-2026,[66300],20 Ashfield Road Aberdeen Scotland AB15 9NQ,only SIC 66300 + incorporated 2024 or later
ASALION CAPITAL LIMITED,15856925,active,ltd,,24-07-2024,24-07-2024,[66300],5 Brayford Square Brayford Square London United Kingdom E1 0SG,only SIC 66300 + incorporated 2024 or later
IONA STAR WORLD MODEL DATA CUSTODY LIMITED,17173372,active,ltd,,22-04-2026,22-04-2026,[66300],13 Dirty Lane London England SE1 9PA,only SIC 66300 + incorporated 2024 or later
S.ELCOMPANY LTD,17173900,active,ltd,,22-04-2026,22-04-2026,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
MESSRS HOOLEY LTD,16976206,active,ltd,,20-01-2026,20-01-2026,[66300],Collacott Farm Chulmleigh England EX18 7RL,only SIC 66300 + incorporated 2024 or later
CMS BUCKLES LIMITED,17193876,active,ltd,,01-05-2026,01-05-2026,[66300],Unit 6 Penn Street Works Amersham England HP7 0FA,only SIC 66300 + incorporated 2024 or later
LINE AND LATITUDE LTD,SC887817,active,ltd,,28-04-2026,28-04-2026,[66300],Shennanton House Shennanton Newton Stewart United Kingdom DG8 0EG,only SIC 66300 + incorporated 2024 or later
DEMEISEN SERVICES LTD,17175569,active,ltd,,23-04-2026,23-04-2026,[66300],C/O Mcdermott Will & Schulte Uk Llp London United Kingdom SW1Y 6AF,only SIC 66300 + incorporated 2024 or later
KESHO COLLECTIVE C.I.C.,15815989,active,private-limited-guarant-nsc,community-interest-company,03-07-2024,03-07-2024,[66300],Unit 2-4 Protection House North Shields NE30 2RH,only SIC 66300 + incorporated 2024 or later
ISOMER CAPITAL IV GP LIMITED,SC890620,active,ltd,,22-05-2026,22-05-2026,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
LIONSGATE CAPITAL PARTNERS LTD,17232632,active,ltd,,20-05-2026,20-05-2026,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
NSS VI EDUCATION 2 LTD,17249035,active,ltd,,29-05-2026,29-05-2026,[66300],"First Floor,  50 Marshall Street London United Kingdom W1F 9BQ",only SIC 66300 + incorporated 2024 or later
BORDER TO COAST NORTH YORKSHIRE GP LIMITED,SC626606,active,ltd,,03-04-2019,03-04-2019,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
BORDER TO COAST GLOBAL VALUE-ADD REAL ESTATE II GP LIMITED,SC880275,active,ltd,,25-02-2026,25-02-2026,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
OCTOPUS FULCRUM ENERGY TRANSITION HOLDINGS LIMITED,16106415,active,ltd,,28-11-2024,28-11-2024,[66300],4th Floor 140 Aldersgate Street London England EC1A 4HY,only SIC 66300 + incorporated 2024 or later
BORDER TO COAST GLOBAL CORE REAL ESTATE GP LIMITED,SC770547,active,ltd,,24-05-2023,24-05-2023,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
BORDER TO COAST CAMBRIDGESHIRE GP LIMITED,SC886780,active,ltd,,17-04-2026,17-04-2026,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
NSS VI NOMINEE LTD,17248981,active,ltd,,29-05-2026,29-05-2026,[66300],"First Floor,  50 Marshall Street London United Kingdom W1F 9BQ",name pattern: nominee entity
