company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
"HOXTON VENTURES III, (SCOT) LTD",SC691845,active,ltd,,,10-03-2021,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: roman-numeral fund series suffix
AVIVA INVESTORS (GP) SCOTLAND LIMITED,SC336262,active,ltd,,16-01-2008,16-01-2008,[66300],Pitheavlis null PH2 0NH,name pattern: GP entity
L&G AFFORDABLE HOUSING GP LIMITED,15123164,active,ltd,,07-09-2023,07-09-2023,[66300],One Coleman Street London United Kingdom EC2R 5AA,name pattern: GP entity
META MINES INVESTMENTS LTD,15969947,active,ltd,,20-09-2024,20-09-2024,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
ALLIANZ HOME EQUITY INCOME GP 1 LIMITED,11300042,active,ltd,,09-04-2018,09-04-2018,[66300],199 Bishopsgate London United Kingdom EC2M 3TY,name pattern: GP entity
GIANT VENTURES I LIMITED,12087799,active,ltd,,05-07-2019,05-07-2019,[66300],Giant House London United Kingdom W11 4PG,name pattern: roman-numeral fund series suffix
BGF CO-INVEST NOMINEES LIMITED,15156897,active,ltd,,22-09-2023,22-09-2023,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: nominee entity
EQUES INVESTMENTS LTD,15844826,active,ltd,,17-07-2024,17-07-2024,[66300],10 Queen Street Place London England EC4R 1AG,only SIC 66300 + incorporated 2024 or later
IQ CAPITAL PARTNERS GP II LIMITED,07386359,active,ltd,,23-09-2010,23-09-2010,[66300],45 Whitfield Street London England W1T 4HD,name pattern: GP entity
BLC I GP MEMBER LTD,12417510,active,ltd,,21-01-2020,21-01-2020,[66300],25 Southampton Buildings London United Kingdom WC2A 1AL,name pattern: GP entity
BLC II NOMINEE LTD,13238493,active,ltd,,02-03-2021,02-03-2021,[66300],25 Southampton Buildings London United Kingdom WC2A 1AL,name pattern: nominee entity
HIGHLAND DREAMS GP UNLIMITED,SC486828,active,private-unlimited,,16-09-2014,16-09-2014,[66300],31-33 Union Grove Aberdeen AB10 6SD,name pattern: GP entity
GLENNMONT PARTNERS I LIMITED,06386353,active,ltd,,01-10-2007,01-10-2007,[66300],9th Floor 201 Bishopsgate London United Kingdom EC2M 3BN,name pattern: roman-numeral fund series suffix
NSS HEALTHCARE HOLDCO LTD,15934892,active,ltd,,04-09-2024,04-09-2024,[66300],Eagle House First Floor London England W1F 9BQ,name pattern: holdco
GAMECHANGER INVESTMENTS LTD,15935065,active,ltd,,04-09-2024,04-09-2024,[66300],The Octagon 27 Middleborough Colchester England CO1 1TG,only SIC 66300 + incorporated 2024 or later
BCCIM GP (SCOTLAND) LIMITED,SC709700,active,ltd,,16-09-2021,16-09-2021,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
MAYFAIR EQUITY PARTNERS I CO-INVESTOR GP LIMITED,SC516430,active,ltd,,24-09-2015,24-09-2015,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
HARBOUR NOMINEES LIMITED,02398608,active,ltd,,27-06-1989,27-06-1989,[66300],23 King Street London SW1Y 6QY,name pattern: nominee entity
NSS HEALTHCARE 2 LTD,15937987,active,ltd,,05-09-2024,05-09-2024,[66300],Eagle House First Floor London England W1F 9BQ,only SIC 66300 + incorporated 2024 or later
H2 HOLDCO LIMITED,16002833,active,ltd,,07-10-2024,07-10-2024,[66300],4-5 Manchester Square London England W1U 3PD,name pattern: holdco
MVM (GP) (NO.5A) LIMITED,05959362,active,ltd,,06-10-2006,06-10-2006,[66300],38 Wigmore Street London England W1U 2RU,name pattern: GP entity
HAL ONE LIMITED,16025079,active,ltd,,17-10-2024,17-10-2024,[66300],249 Cranbrook Road Ilford United Kingdom IG1 4TG,only SIC 66300 + incorporated 2024 or later
COACH HOUSE LITIGATION GP LIMITED,10570307,active,ltd,,18-01-2017,18-01-2017,[66300],White House Church Lane Winchester United Kingdom SO21 2NJ,name pattern: GP entity
SIMPLY AFFORDABLE HOMES 1 GP LIMITED,14682563,active,ltd,,22-02-2023,22-02-2023,[66300],33 Margaret Street London United Kingdom W1G 0JD,name pattern: GP entity
SEMANTIC VENTURES GP LIMITED,11656080,active,ltd,,02-11-2018,02-11-2018,[66300],Censeo House St. Albans England AL1 3LF,name pattern: GP entity
IQ FOUNDER PARTNER (GP) III LIMITED,SC582368,active,ltd,,24-11-2017,24-11-2017,[66300],C/O Brodies Llp Capital Square Edinburgh United Kingdom EH3 8BP,name pattern: GP entity
OLYMPUS INVESTMENTS GP LIMITED,12316784,active,ltd,,15-11-2019,15-11-2019,[66300],Chelsea House London United Kingdom W5 1DR,name pattern: GP entity
BEECH TREE FP GP IV LIMITED,SC757653,active,ltd,,03-02-2023,03-02-2023,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
VESPA CAPITAL III GP 1 LTD,12355616,active,ltd,,09-12-2019,09-12-2019,[66300],3 St. James's Square London England SW1Y 4JU,name pattern: GP entity
EMPYREAN WEALTH MANAGEMENT LTD,16061711,active,private-limited-guarant-nsc,,05-11-2024,05-11-2024,[66300],7 Leithcote Gardens London United Kingdom SW16 2UX,only SIC 66300 + incorporated 2024 or later
BEF-NPIF GP LIMITED,10638308,active,private-limited-guarant-nsc,,24-02-2017,24-02-2017,[66300],City Hub 9-11 Peckover Street Bradford England BD1 5BD,name pattern: GP entity
WHITE HORSE WEALTH MANAGEMENT LTD,16129476,active,ltd,,11-12-2024,11-12-2024,[66300],Victoria House Reading United Kingdom RG1 1TG,only SIC 66300 + incorporated 2024 or later
RESONANCE SHF GP LIMITED,12472933,active,ltd,,20-02-2020,20-02-2020,[66300],The Great Barn Hurdon Road Launceston England PL15 9LR,name pattern: GP entity
SEMANTIC VENTURES II GP LIMITED,13847305,active,ltd,,13-01-2022,13-01-2022,[66300],Censeo House St. Albans England AL1 3LF,name pattern: GP entity
QUBIT VENTURES I GP LIMITED,15361466,active,ltd,,19-12-2023,19-12-2023,[66300],4th Floor 95 Chancery Lane London England WC2A 1DT,name pattern: GP entity
ROBOT EDGE CAPITAL LTD,16158225,active,ltd,,01-01-2025,01-01-2025,[66300],74 O'Leary Square London United Kingdom E1 3AR,only SIC 66300 + incorporated 2024 or later
INNISFREE NOMINEES LIMITED,03565361,active,ltd,,18-05-1998,18-05-1998,[66300],"1st Floor,  Boundary House London United Kingdom EC1M 6HR",name pattern: nominee entity
L&G HERNE HILL HOLDCO NOMINEE LIMITED,16132803,active,ltd,,12-12-2024,12-12-2024,[66300],One London United Kingdom EC2R 5AA,name pattern: nominee entity
